codigo_curso,nombre_curso,catedratico,auxiliar
7994,SEMINARIO DE INVESTIGACION MECANICA ELECTRICA,FRANCISCO JAVIER GONZALEZ LOPEZ,xxx
2035,PRACTICAS FINALES INGENIERIA AMBIENTAL,MANUEL ALFREDO ARRIVILLAGA OCHAETA,xxx
7981,SEMINARIO DE INVESTIGACION E.P.S. CIVIL,MANUEL ALFREDO ARRIVILLAGA OCHAETA,xxx
7995,SEMINARIO DE INVESTIGACION MECANICA INDUSTRIAL,EDWIN JOSUE IXPATA REYES,xxx
7904,SEMINARIO DE INVESTIGACION ELECTRICA,ARMANDO ALONSO RIVERA CARRILLO,xxx
7999,SEMINARIO DE INVESTIGACION E.P.S. SISTEMAS,FLORIZA FELIPA AVILA PESQUERA DE MEDINILLA,xxx
7985,SEMINARIO DE INVESTIGACION E.P.S. INDUSTRIAL,SINDY MASSIEL GODINEZ BAUTISTA,xxx
7982,SEMINARIO DE INVESTIGACION E.P.S. QUIMICA,SERGIO ALEJANDRO RECINOS,xxx
7987,SEMINARIO DE INVESTIGACION E.P.S. MECANICA INDUSTRIAL,EDWIN ESTUARDO SARCEÑO ZEPEDA,xxx
7989,SEMINARIO DE INVESTIGACION E.P.S. AMBIENTAL,SERGIO ALEJANDRO RECINOS,xxx
7986,SEMINARIO DE INVESTIGACION E.P.S. MECANICA ELECTRICA,KENNETH ISSUR ESTRADA RUIZ,xxx
7988,SEMINARIO DE INVESTIGACION E.P.S. ELECTRONICA,KENNETH ISSUR ESTRADA RUIZ,xxx
